CGBEM_Zero,CGBEM_Bias,CDRZERO_linear,CDRZERO_nonlinear,CDRZERO_xgb,CDRZERO_mlp,CDRBIASED_linear,CDRBIASED_nonlinear,CDRBIASED_xgb,CDRBIASED_mlp
-3.2317456034167886,-3.475040616658998,-4.5256136438774135,-8.551574312636149,-3.380300760269165,-16.42408300702083,-3.4674055434374433,-3.1531344434496074,-3.521986484527588,-3.623942842066089
-3.231745689100124,-3.4750405707930354,-4.526777437918696,-9.392966478430026,-3.3802075386047363,-16.439370236323974,-3.467405487633775,-3.5831232734597283,-3.521986484527588,-3.6239428349528717
-3.2317456034167886,-3.4750406166589998,-4.526182581911094,-9.03420344118058,-3.3800160884857178,-16.431665264064375,-3.467405543128945,-3.1137699250368343,-3.521986484527588,-3.6239428420660924
-3.231745603416788,-3.4750406166590007,-4.52599208076731,-9.047713083784402,-3.378077268600464,-15.958725011030594,-3.4674055276387903,-2.9584442007408853,-3.521986484527588,-3.6239428420660933
-3.2317456891001246,-3.4750405707930367,-4.525670873729744,-6.918887669028663,-3.3810086250305176,-17.757003610855275,-3.467405485450514,-3.17319208103304,-3.521986484527588,-3.6239428349528766
-3.2317456891001237,-3.475040570793033,-4.526532674001288,-9.142260437343793,-3.378655195236206,-15.965398813249388,-3.467405485450512,-3.3156897357565835,-3.521986484527588,-3.6239428349528726
-3.231745689100124,-3.4750405707930363,-4.526028972023177,-8.217624209024507,-3.3809711933135986,-16.89195807056541,-3.4674054856047642,-3.7632406646810015,-3.521986484527588,-3.6239428349528735
-3.231745689100124,-3.4750406166590007,-4.525340419236507,-7.925647109108468,-3.3810417652130127,-16.874847635137517,-3.4674055276387903,-2.9584442007408853,-3.521986484527588,-3.6239428420660933
-3.2317456891001233,-3.4750405707930354,-4.526856279233023,-9.865516549834865,-3.3736536502838135,-15.675183007009453,-3.4674054858403873,-1.4550125975042718,-3.521986484527588,-3.6239428349528744
-3.2317456034167886,-3.4750405707930354,-3.22660179359329,-3.2887860305649532,-3.289581298828125,-6518.380714029055,-3.467405487633775,-3.5831232734597283,-3.521986484527588,-3.6239428349528717
-3.2317456034167886,-3.475040570793033,-4.526370179312309,-9.858123237518157,-3.3808305263519287,-16.89193161327428,-3.467405485450512,-3.3156897357565835,-3.521986484527588,-3.6239428349528726
-3.2317456034167877,-3.475040570793033,-4.525475653616297,-5.774626763675769,-3.3810417652130127,-18.137581579042365,-3.4674054854505134,-3.6430142792487232,-3.521986484527588,-3.6239428349528704
-3.2317456034167895,-3.475040570793033,-4.525723387845076,-8.399588003849203,-3.3805859088897705,-16.514721063166455,-3.467405485450512,-3.3156897357565835,-3.521986484527588,-3.6239428349528726
-3.23174560341679,-3.4750406166589998,-4.526196273187921,-9.597043934256362,-3.3748230934143066,-15.667574243354538,-3.467405543730266,-3.7632404099827044,-3.521986484527588,-3.6239428420660933
-3.231745603416788,-3.4750405707930354,-4.526266696148539,-9.291171743781888,-3.3809380531311035,-16.524689956696875,-3.467405487633775,-3.5831232734597283,-3.521986484527588,-3.6239428349528717
-3.2317456034167877,-3.475040616658996,-4.525910697021779,-7.607438536189875,-3.3809711933135986,-16.87101137609278,-3.4674055437302655,-3.630396189492142,-3.521986484527588,-3.623942842066087
-3.2317456891001277,-3.4750406166589998,-4.526523439364091,-9.84953968983973,-3.3787589073181152,-15.96496086597471,-3.4674055437302655,-3.340538128589346,-3.521986484527588,-3.6239428420660946
-3.231745689100124,-3.4750406166589998,-4.526576692878038,-9.869378001185396,-3.3763628005981445,-15.966282335460123,-3.467405543128945,-3.1137699250368343,-3.521986484527588,-3.6239428420660924
-3.2317456034167877,-3.475040616658999,-4.526201368820168,-8.531062581223523,-3.3810417652130127,-18.627037995719178,-3.4674055312255594,-3.772215143248143,-3.521986484527588,-3.623942842066092
-3.2317456034167886,-3.475040570793033,-4.526190612938798,-7.606312348907522,-3.3810417652130127,-17.117949015067705,-3.467405485450512,-3.3156897357565835,-3.521986484527588,-3.6239428349528726
